title,url,image,price,originalPrice,discountPercent,rating,reviewCount,soldCount,location,category,marketplace,affiliateUrl,notes
"miniside | T-shirt kids youth laki laki perempuan 1-10 tahun premium | kaos anak unisex 1-10 tahun original - hijau army, S 1-2 Tahun",https://www.tokopedia.com/miniside-official/miniside-t-shirt-kids-youth-laki-laki-perempuan-1-10-tahun-premium-kaos-anak-unisex-1-10-tahun-1734918082984379827-1734918225636591027,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,39900,140000,72,4.9,68,,Kab. Bandung,Fashion,tokopedia,,
"SETELAN BAJU ANAK COWOK 1-8 TAHUN ""ROCAR FULL PRINT EDITION"" / SETELAN BAJU ANAK KELFI Bayi Katun - ROCAR KUNING, S",https://www.tokopedia.com/little-babies-831/setelan-baju-anak-cowok-1-8-tahun-rocar-full-print-edition-setelan-baju-anak-kelfi-bayi-katun-1729596201075378573,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,27499,54998,50,4.9,4572,,Kab. Sidoarjo,Fashion,tokopedia,,
"Jaket Hoodie Zipper CAPYBARA anak Perempuan Usia 1-8 Tahun - Hoodie Polos Unisex - TARO, S",https://www.tokopedia.com/baraya-kidz/jaket-hoodie-zipper-capybara-anak-perempuan-usia-1-8-tahun-hoodie-polos-unisex-1734367224310957805,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,48850,65000,25,,,,,Fashion,tokopedia,,
"Olibaba - Kaos Anak Premium 1-8 Tahun / 100% Katun Tebal 24s / Baju Anak Laki Laki Perempuan - Seri B15 - OK0416-ABU TUA, S (1-2 Thn)",https://www.tokopedia.com/olibaba-kids/olibaba-kaos-anak-premium-1-8-tahun-100-katun-tebal-24s-baju-anak-laki-laki-perempuan-seri-b15-1731720429168788747,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,39900,90000,56,4.8,821,,Kota Administrasi Jakarta Utara,Fashion,tokopedia,,
"MILMODE - DRESS ANAK SILVIA (6 BULAN - 6 TAHUN) MOTIF BORDIR - Navy, S",https://www.tokopedia.com/milmode/milmode-dress-anak-silvia-6-bulan-6-tahun-motif-bordir-1730847874835646404,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,25900,48000,46,4.9,4902,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"Kaos Anak Korea Style Unisex Perempuan Laki-laki Usia 1-12 Tahun Motif Popeye  100% Cotton Combat 30s Premium Nyaman Adem Fashion Kekinian - Hitam, S (usia 1-2tahun)",https://www.tokopedia.com/faazzy-kidswear/kaos-anak-korea-style-unisex-perempuan-laki-laki-usia-1-12-tahun-motif-popeye-100-cotton-combat-30s-premium-nyaman-adem-fashion-kekinian-1733776336356869723,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,34270,149000,77,,,,,Fashion,tokopedia,,
"SWEETIE CHIC KOREA STYLE COCOBABY T SHIRT COTTON KAOS ATASAN ANAK PEREMPUAN 1-12 TAHUN MOTIF KUPU-KUPU BIRU - Putih, S(1-2 THN)",https://www.tokopedia.com/sweetie-chic/sweetie-chic-korea-style-cocobaby-t-shirt-cotton-kaos-atasan-anak-perempuan-1-12-tahun-motif-kupu-kupu-biru-1734504555180426890,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,39900,150000,73,4.8,141,,Kab. Bandung,Fashion,tokopedia,,
"ODOM  Setelan anak laki laki/setelan pakaian anak cowok OB-18 - (18).OB.GRS CAP/ABU TUA, S (0-6 BULAN)",https://www.tokopedia.com/odomid/odom-setelan-anak-laki-laki-setelan-pakaian-anak-cowok-ob-18-1734525825243449229,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,25900,35000,26,4.8,1187,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"SETELAN GAJAH ANAK UNISEX TERBARU USIA 3-12 TAHUN - GAJAH PUTIH CEWEK, 3-4 TAHUN",https://www.tokopedia.com/bintanganak13/setelan-gajah-anak-unisex-terbaru-usia-3-12-tahun-1736094325210777382-1736094326229993254,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,49500,100000,51,4.8,45,,Kab. Bekasi,Fashion,tokopedia,,
"SETELAN BAJU ANAK LAKI LAKI UNISEX LENGAN PENDEK MOTIF SPIDER DINO USIA 2-13 THN - spiderman hitam pendek, M(4-5 thn",https://www.tokopedia.com/tom-kids-collection/setelan-baju-anak-laki-laki-unisex-lengan-pendek-motif-spider-dino-usia-2-13-thn-1734475427947448315,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,32760,52000,37,4.8,1102,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
